date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:48	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%226400e44f-154%22	https://www.classcentral.com/robots.txt		(from )
18:18:50	665243/665243	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:48:51%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/clone/www.classcentral.com/index.html	(from )
18:18:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2012:48:52%20GMT	http://schema.org/WebSite	C:/My%20Web%20Sites/clone/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
18:18:51	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	C:/My%20Web%20Sites/clone/schema.org/WebSite.html	(from https://www.classcentral.com/)
18:18:53	9463/9463	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202022%2016:44:05%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/My%20Web%20Sites/clone/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
18:18:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2012:48:54%20GMT	http://twitter.com/classcentral	C:/My%20Web%20Sites/clone/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
18:18:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2012:48:56%20GMT	http://www.linkedin.com/company/class-central	C:/My%20Web%20Sites/clone/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
18:18:54	176105/176105	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:48:56%20GMT	https://twitter.com/classcentral	C:/My%20Web%20Sites/clone/twitter.com/classcentral.html	(from https://www.classcentral.com/)
18:18:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2012:48:56%20GMT	https://www.linkedin.com/company/class-central	C:/My%20Web%20Sites/clone/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
18:18:56	339282/339282	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:48:58%20GMT	https://www.linkedin.com/company/classcentral	C:/My%20Web%20Sites/clone/www.linkedin.com/company/classcentral.html	(from https://www.classcentral.com/)
18:18:57	135432/135432	---MCZ	200	added ('OK')	text/html	etag:W/%2234aa53299892c4597d19dabbb0184f5c%22	https://github.com/classcentral	C:/My%20Web%20Sites/clone/github.com/classcentral.html	(from https://www.classcentral.com/)
18:18:57	2206/2206	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/clone/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
18:18:57	975/975	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/clone/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
18:18:57	731/731	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/clone/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
18:18:58	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%226400e44f-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/clone/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
18:18:58	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226400e44f-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/clone/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
18:18:58	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%226400e44f-391%22	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/clone/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
